iter,train_loss,val_loss,elapsed_s
1,4.2086,4.1232,
250,2.7912,2.7334,
500,2.4926,2.4294,
750,2.3389,2.2876,
1000,2.2394,2.195,
1250,2.1439,2.1045,
1500,2.0331,2.0324,
1750,1.9725,1.9655,
2000,1.8801,1.9038,
2250,1.8443,1.8677,
2500,1.7688,1.8306,
2750,1.7185,1.805,
3000,1.7499,1.765,
3250,1.7,1.7485,
3500,1.6232,1.7173,
3750,1.6339,1.6956,
4000,1.6058,1.6762,
4250,1.6156,1.6694,
4500,1.5699,1.6482,
4750,1.5502,1.6486,
5000,1.5318,1.6158,
