iter,train_loss,val_loss,elapsed_s
1,4.2616,4.1192,
250,2.7436,2.6884,
500,2.4294,2.3849,
750,2.2995,2.2747,
1000,2.166,2.1323,
1250,2.0763,2.0192,
1500,1.9902,1.9609,
1750,1.8822,1.9132,
2000,1.8298,1.8827,
2250,1.7361,1.8486,
2500,1.7772,1.8048,
2750,1.6875,1.7685,
3000,1.6612,1.7413,
3250,1.5773,1.7152,
3500,1.5798,1.6908,
3750,1.5802,1.6717,
4000,1.5353,1.653,
4250,1.5369,1.6492,
4500,1.527,1.6241,
4750,1.4982,1.6218,
5000,1.4967,1.5951,
