iter,train_loss,val_loss,elapsed_s
1,4.1812,4.067,
250,2.7373,2.7176,
500,2.464,2.394,
750,2.2639,2.2792,
1000,2.2652,2.1761,
1250,2.1417,2.1046,
1500,2.1389,2.0635,
1750,2.0682,2.0065,
2000,1.9548,1.9916,
2250,1.9191,1.9533,
2500,1.8732,1.9309,
2750,1.9028,1.9069,
3000,1.7573,1.8845,
3250,1.8312,1.8722,
3500,1.824,1.8526,
3750,1.748,1.8759,
4000,1.7939,1.8279,
4250,1.74,1.8188,
4500,1.727,1.8004,
4750,1.6862,1.7784,
5000,1.6125,1.7907,
