iter,train_loss,val_loss,elapsed_s
1,4.1966,4.1355,
250,2.8702,2.7958,
500,2.4653,2.4226,
750,2.3507,2.3232,
1000,2.2905,2.2351,
1250,2.1909,2.1471,
1500,2.117,2.0832,
1750,2.0614,2.0274,
2000,1.9949,1.974,
2250,1.9572,1.9509,
2500,1.9449,1.9257,
2750,1.8732,1.9043,
3000,1.8733,1.892,
3250,1.8161,1.8676,
3500,1.8097,1.8517,
3750,1.7909,1.8243,
4000,1.7532,1.8113,
4250,1.7126,1.7923,
4500,1.7371,1.7876,
4750,1.7269,1.7678,
5000,1.7061,1.7623,
