iter,train_loss,val_loss,elapsed_s
1,4.1827,3.9101,
250,2.4571,2.3822,
500,2.1762,2.1182,
750,1.9607,1.9413,
1000,1.7369,1.8275,
1250,1.6788,1.755,
1500,1.5825,1.6963,
1750,1.5454,1.6634,
2000,1.5295,1.6287,
2250,1.4565,1.5976,
2500,1.4601,1.5849,
2750,1.5024,1.5875,
3000,1.4676,1.5634,
3250,1.3821,1.553,
3500,1.4134,1.5603,
3750,1.4364,1.5456,
4000,1.3837,1.5463,
4250,1.3845,1.5278,
4500,1.3242,1.5248,
4750,1.3789,1.522,
5000,1.3499,1.5305,
