iter,train_loss,val_loss,elapsed_s
1,4.1827,4.084,
250,2.754,2.6841,
500,2.4445,2.3868,
750,2.3282,2.2578,
1000,2.1782,2.1429,
1250,2.0777,2.0539,
1500,1.9959,1.9838,
1750,1.9327,1.9352,
2000,1.8744,1.8889,
2250,1.7959,1.8452,
2500,1.7532,1.8203,
2750,1.8035,1.8058,
3000,1.7467,1.7799,
3250,1.6616,1.7549,
3500,1.6678,1.7511,
3750,1.6747,1.724,
4000,1.618,1.7148,
4250,1.598,1.6907,
4500,1.5421,1.6772,
4750,1.5765,1.6647,
5000,1.5431,1.6607,
