iter,train_loss,val_loss,elapsed_s
1,4.1827,4.1475,
250,3.3244,3.35,
500,2.9056,2.8127,
750,2.6438,2.5891,
1000,2.5147,2.4418,
1250,2.4088,2.3876,
1500,2.3898,2.3388,
1750,2.3451,2.2991,
2000,2.3085,2.2416,
2250,2.2698,2.2064,
2500,2.1885,2.1612,
2750,2.2042,2.1436,
3000,2.171,2.1026,
3250,2.1072,2.0628,
3500,2.083,2.0337,
3750,2.0636,2.0117,
4000,2.0208,1.9959,
4250,1.9594,1.9738,
4500,1.9318,1.9527,
4750,1.9264,1.9312,
5000,1.9089,1.9238,
